SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,PA6420845,A,75,PA
2026Q2,OH3332412,A,26,OH
2026Q2,MN1030004,A,234,MN
2026Q2,OH2902012,A,8948,OH
2026Q2,MN1360004,A,542,MN
2026Q2,MN5690222,A,40,MN
2026Q2,MN5111093,A,220,MN
2026Q2,MN5610055,A,25,MN
2026Q2,MN5190813,A,35,MN
2026Q2,MN5390008,A,501,MN
2026Q2,MN5020433,A,50,MN
2026Q2,NC0201472,A,80,NC
2026Q2,MN5110328,A,60,MN
2026Q2,NC0187521,A,175,NC
2026Q2,MN5140205,A,100,MN
2026Q2,NC0464125,A,50,NC
2026Q2,MN5820293,A,120,MN
2026Q2,NC0145543,A,112,NC
2026Q2,NC0319443,A,50,NC
2026Q2,NC0392151,A,114,NC
2026Q2,NC4019015,A,192,NC
2026Q2,NC0368443,A,45,NC
2026Q2,NC0241687,A,25,NC
2026Q2,NC0392101,A,332,NC
2026Q2,NC0392202,A,74,NC
2026Q2,NC0392113,A,255,NC
2026Q2,NC0392769,A,50,NC
2026Q2,NC0368465,A,566,NC
2026Q2,NC3041079,A,75,NC
2026Q2,NC0392107,A,140,NC
2026Q2,NC0368125,A,40,NC
2026Q2,NC3076004,A,45,NC
2026Q2,NC0276435,A,124,NC
2026Q2,NC0201634,A,45,NC
2026Q2,MI2052928,A,100,MI
2026Q2,MI2050728,A,30,MI
2026Q2,MN5660671,A,25,MN
2026Q2,MN1720002,A,2269,MN
2026Q2,MN5580437,A,40,MN
2026Q2,MN5560062,A,50,MN
2026Q2,MN1120004,A,5337,MN
2026Q2,MN5160121,A,25,MN
2026Q2,MN5190536,A,25,MN
2026Q2,MN5800213,A,25,MN
2026Q2,MN5690326,A,25,MN
2026Q2,MN5710372,A,25,MN
2026Q2,MN5470102,A,150,MN
2026Q2,MN1820021,A,25,MN
2026Q2,MN5110856,A,50,MN
2026Q2,OH4559812,A,50,OH
2026Q2,MO3031227,A,70,MO
2026Q2,CA2701446,A,50,CA
2026Q2,OH5045012,A,108,OH
2026Q2,OH7443412,A,200,OH
2026Q2,CA2701297,A,164,CA
2026Q2,CA2600530,A,75,CA
2026Q2,CA2701687,A,108,CA
2026Q2,OH8532012,A,75,OH
2026Q2,OH2876959,A,75,OH
2026Q2,CA2400307,A,26,CA
2026Q2,CA1200751,A,200,CA
2026Q2,NC0392274,A,42,NC
2026Q2,NC0279108,A,228,NC
2026Q2,NC0279160,A,71,NC
2026Q2,NC0279124,A,86,NC
2026Q2,NC0464025,A,1312,NC
2026Q2,OR4194533,A,500,OR
2026Q2,NC0180685,A,60,NC
2026Q2,NC0157487,A,95,NC
2026Q2,NC0114466,A,50,NC
2026Q2,NC4392527,A,200,NC
