SUBMISSIONYEARQUARTER,PWSID,VIOLATION_ID,VIOLATION_CATEGORY_CODE,IS_HEALTH_BASED_IND,CONTAMINANT_CODE
2026Q2,CA0707561,8380007,MCL,Y,1040
2026Q2,CA3301574,8630200,MCL,Y,1040
2026Q2,NE3150529,6589,MCL,Y,1040
2026Q2,CA3702028,8380075,MCL,Y,1040
2026Q2,DE0002303,7393,MCL,Y,1040
2026Q2,TX2430002,2003596,MCL,Y,1040
2026Q2,MO2069020,1V87,MCL,Y,1040
2026Q2,MI3920110,8615235,MCL,Y,1040
2026Q2,DE0000509,780,MCL,Y,1040
2026Q2,TX2140019,111286,MCL,Y,1040
2026Q2,MI2001861,8615165,MCL,Y,1040
2026Q2,WA5302410,8383109,MCL,Y,1040
2026Q2,WA5317189,0933841,MCL,Y,1040
2026Q2,MI3920144,8615236,MCL,Y,1040
2026Q2,TX0680013,196,MCL,Y,1040
2026Q2,WA5352745,2472098,MCL,Y,1040
2026Q2,NY4410190,52381,MCL,Y,1040
2026Q2,CA4300792,8416471,MCL,Y,1040
2026Q2,TX1530006,289,MCL,Y,1040
2026Q2,PA7360399,9007047,MCL,Y,1040
2026Q2,CA3310018,8300355,MCL,Y,1040
2026Q2,CA5102020,8630742,MCL,Y,1040
2026Q2,DE0000041,12590,MCL,Y,1040
2026Q2,VA2161600,1487980,MCL,Y,1040
2026Q2,CA2701000,8413634,MCL,Y,1040
2026Q2,TX1530007,1395780,MCL,Y,1040
2026Q2,PA7360444,8030547,MCL,Y,1040
2026Q2,DE0000168,392,MCL,Y,1040
2026Q2,ID4200037,4000183,MCL,Y,1040
2026Q2,DE0000607,6280,MCL,Y,1040
2026Q2,CA5410012,8300606,MCL,Y,1040
2026Q2,MI3420017,8715005,MCL,Y,1040
2026Q2,CA3310044,8400361,MCL,Y,1040
2026Q2,CA4300811,8416505,MCL,Y,1040
2026Q2,PA7360126,8409704,MCL,Y,1040
2026Q2,DE0000600,598,MCL,Y,1040
2026Q2,CA5700718,8417874,MCL,Y,1040
2026Q2,CA4410303,8600404,MCL,Y,1040
2026Q2,CA5000069,8200107,MCL,Y,1040
2026Q2,MI3420017,8615138,MCL,Y,1040
2026Q2,CA4300610,8200093,MCL,Y,1040
2026Q2,KS2014103,47981,MCL,Y,1040
2026Q2,FL6515162,20060000767,MCL,Y,1040
2026Q2,PA7360827,8030552,MCL,Y,1040
2026Q2,DE0000947,6892,MCL,Y,1040
2026Q2,CA5400706,8417667,MCL,Y,1040
2026Q2,TX1590001,4004097,MCL,Y,1040
2026Q2,IA0932001,9017285,MCL,Y,1040
2026Q2,WA5383830,8150401,MCL,Y,1040
2026Q2,CA3310016,8300347,MCL,Y,1040
2026Q2,CA3600021,8200070,MCL,Y,1040
2026Q2,CA4200867,8324800,MCL,Y,1040
2026Q2,DE0000705,5580,MCL,Y,1040
2026Q2,OK2005711,282394,MCL,Y,1040
2026Q2,OK2004154,1V83,MCL,Y,1040
2026Q2,FL3420182,95V0001,MCL,Y,1040
2026Q2,TX1590007,100,MCL,Y,1040
2026Q2,IA6055077,12380,MCL,Y,1040
2026Q2,TX1530003,4110492,MCL,Y,1040
2026Q2,CA4410303,8400504,MCL,Y,1040
2026Q2,CA4300575,8200160,MCL,Y,1040
2026Q2,TX1730003,269688,MCL,Y,1040
2026Q2,PA7360138,0337031,MCL,Y,1040
2026Q2,CA5400596,8417643,MCL,Y,1040
2026Q2,CA3010046,8010091,MCL,Y,1040
2026Q2,MD0060216,9710002,MCL,Y,1040
2026Q2,NE3120191,112793,MCL,Y,1040
2026Q2,IA3113587,9007385,MCL,Y,1040
2026Q2,TX2440006,4115692,MCL,Y,1040
2026Q2,KS2014105,8248482,MCL,Y,1040
2026Q2,DE0000864,492,MCL,Y,1040
2026Q2,CA3310035,8700312,MCL,Y,1040
2026Q2,TX1110102,198,MCL,Y,1040
2026Q2,KS2016501,7981,MCL,Y,1040
2026Q2,DE0002316,594,MCL,Y,1040
2026Q2,IA8166061,9019485,MCL,Y,1040
2026Q2,PA7360091,8318539,MCL,Y,1040
2026Q2,FL5280295,8000014,MCL,Y,1040
2026Q2,CA4310006,8300517,MCL,Y,1040
2026Q2,NE3120223,490,MCL,Y,1040
2026Q2,TX0870002,1231182,MCL,Y,1040
2026Q2,IA5765001,8299,MCL,Y,1040
2026Q2,WA53AD658,2555634,MCL,Y,1040
2026Q2,NM3594526,249080,MCL,Y,1040
2026Q2,CA3310033,8210034,MCL,Y,1040
2026Q2,AZ0411357,1010481,MCL,Y,1040
2026Q2,TX1380011,1390380,MCL,Y,1040
2026Q2,CA1000035,8100145,MCL,Y,1040
2026Q2,NY5730009,317,MCL,Y,1040
2026Q2,WA5301874,1572536,MCL,Y,1040
2026Q2,FL3484406,20230010714,MCL,Y,1040
2026Q2,DE0000483,298,MCL,Y,1040
2026Q2,DE0000168,292,MCL,Y,1040
2026Q2,CA5602111,8631442,MCL,Y,1040
2026Q2,CA2700656,8627323,MCL,Y,1040
2026Q2,CA4300785,8416459,MCL,Y,1040
2026Q2,CA4300811,8416503,MCL,Y,1040
2026Q2,WA5304460,0620982,MCL,Y,1040
2026Q2,TX0280017,400100,MCL,Y,1040
2026Q2,CA4300575,8380103,MCL,Y,1040
2026Q2,CA2701105,8413648,MCL,Y,1040
2026Q2,IA8114000,9009585,MCL,Y,1040
2026Q2,OK2000203,265809,MCL,Y,1038
2026Q2,WI1140163,8000006,MCL,Y,1040
2026Q2,DE0002096,194,MCL,Y,1040
2026Q2,MI0820074,8615209,MCL,Y,1040
2026Q2,CA3310018,8010128,MCL,Y,1040
2026Q2,AZ0413408,1635081,MCL,Y,1040
2026Q2,CA4410303,8400508,MCL,Y,1040
2026Q2,CA5000218,8200116,MCL,Y,1040
2026Q2,CA4200532,8200083,MCL,Y,1040
2026Q2,CA4310006,8400493,MCL,Y,1040
2026Q2,CA2701037,8413644,MCL,Y,1040
2026Q2,DE0000075,3198,MCL,Y,1040
2026Q2,KS2011302,8345183,MCL,Y,1040
2026Q2,CA5100112,8380155,MCL,Y,1040
2026Q2,CA3900794,9044775,MCL,Y,1040
2026Q2,WA5318750,0790972,MCL,Y,1040
2026Q2,AZ0407438,1062081,MCL,Y,1040
2026Q2,CA3000771,8522497,MCL,Y,1040
2026Q2,CA4300802,8416481,MCL,Y,1040
2026Q2,DE0000397,5380,MCL,Y,1040
2026Q2,CA5410012,8300597,MCL,Y,1040
2026Q2,MD1120030,8200409,MCL,Y,1040
2026Q2,ND5310200,281,MCL,Y,1040
2026Q2,WA5318750,0767634,MCL,Y,1040
2026Q2,MI3920144,8615040,MCL,Y,1040
2026Q2,CA3901033,8735992,MCL,Y,1040
